"item","num_strokes","radical","strokes","r_stroke","lexicality","level","CHRCount","logCHR","v1","v1_label"
"澎",15,"氵","点,点,提,横,竖,横,竖,横折,横,点,撇,提,撇,撇,撇","点,点,提",1,1,56,1.7482,"",NA
"澜",15,"氵","点,点,提,点,竖,横折钩,横,竖,横折,点,撇,横,竖,撇,点","点,点,提",1,1,62,1.7924,"",NA
"澡",16,"氵","点,点,提,竖,横折,横,竖,横折,横,竖,横折,横,横,竖,撇,捺","点,点,提",1,1,1697,3.2297,"",NA
"澥",16,"氵","点,点,提,撇,横撇/横钩,撇,横折钩,横,横,竖,横折钩,撇,撇,横,横,竖","点,点,提",1,1,NA,NA,"",NA
"澧",16,"氵","点,点,提,竖,横折,横,竖,竖,横,横,竖,横折,横,点,撇,横","点,点,提",1,1,NA,NA,"",NA
"澳",15,"氵","点,点,提,撇,竖,横折,点,撇,横,竖,撇,点,横,撇,捺","点,点,提",1,1,589,2.7701,"",NA
"澶",16,"氵","点,点,提,点,横,竖,横折,竖,横折,横,横,竖,横折,横,横,横","点,点,提",1,1,NA,NA,"",NA
"澹",16,"氵","点,点,提,撇,横撇/横钩,横,撇,撇,点,点,横,横,横,竖,横折,横","点,点,提",1,1,1,0,"",NA
"激",16,"氵","点,点,提,撇,竖,横折,横,横,点,横,横折钩,撇,撇,横,撇,捺","点,点,提",1,1,10237,4.0102,"不规则小家族目标字",4
"濂",16,"氵","点,点,提,点,横,撇,点,撇,横,横折,横,横,竖,竖,撇,捺","点,点,提",1,1,NA,NA,"",NA
"濉",16,"氵","点,点,提,竖,横折,横,横,横,撇,竖,点,横,横,横,竖,横","点,点,提",1,1,NA,NA,"",NA
"濑",16,"氵","点,点,提,横,竖,横折,横,竖,撇,点,撇,横撇/横钩,竖,横折,撇,点","点,点,提",1,1,101,2.0043,"",NA
"濒",16,"氵","点,点,提,竖,横,竖,横,竖,撇,撇,横,撇,竖,横折,撇,点","点,点,提",1,1,170,2.2304,"",NA
"濞",17,"氵","点,点,提,撇,竖,横折,横,横,横,竖,横折,横,竖,横,横,撇,竖","点,点,提",1,1,NA,NA,"",NA
"濠",17,"氵","点,点,提,点,横,竖,横折,横,点,横撇/横钩,横,撇,弯钩,撇,撇,撇,捺","点,点,提",1,1,NA,NA,"",NA
"濡",17,"氵","点,点,提,横,点,横撇/横钩,竖,点,点,点,点,横,撇,竖,横折钩,竖,竖","点,点,提",1,1,15,1.1761,"",NA
"濮",17,"氵","点,点,提,撇,竖,竖,竖,点,撇,横,点,撇,横,横,横,撇,捺","点,点,提",1,1,NA,NA,"",NA
"濯",17,"氵","点,点,提,横折,点,提,横折,点,提,撇,竖,点,横,横,横,竖,横","点,点,提",1,1,NA,NA,"",NA
"瀑",18,"氵","点,点,提,竖,横折,横,横,横,竖,竖,横,撇,捺,竖钩,点,提,撇,点","点,点,提",1,1,167,2.2227,"",NA
"瀚",19,"氵","点,点,提,横,竖,竖,横折,横,横,横,竖,撇,捺,横折钩,点,提,横折钩,点,提","点,点,提",1,1,39,1.5911,"",NA
"瀛",19,"氵","点,点,提,点,横,竖折/竖弯,竖,横折,横,撇,横折钩,横,横,撇点,撇,横,撇,横折弯钩/横斜钩,点","点,点,提",1,1,2,0.301,"",NA
"瀣",19,"氵","点,点,提,竖,横,撇,横撇/横钩,点,横撇/横钩,捺,竖,横,横,横,竖,横,横,横,横","点,点,提",1,1,8,0.9031,"",NA
"瀵",20,"氵","点,点,提,点,撇,横,竖,撇,捺,竖,横折,横,竖,横,横,竖,竖,横,撇,点","点,点,提",1,1,NA,NA,"",NA
"瀹",20,"氵","点,点,提,撇,捺,横,竖,横折,横,竖,横折,横,竖,横折,横,竖,横折钩,横,竖,竖","点,点,提",1,1,NA,NA,"",NA
"灌",20,"氵","点,点,提,横,竖,竖,竖,横折,横,竖,横折,横,撇,竖,点,横,横,横,竖,横","点,点,提",1,1,890,2.9494,"",NA
"灏",21,"氵","点,点,提,竖,横折,横,横,点,横,竖,横折,横,竖钩,撇,点,横,撇,竖,横折,撇,点","点,点,提",1,1,NA,NA,"",NA
"灞",24,"氵","点,点,提,横,点,横撇/横钩,竖,点,点,点,点,横,竖,竖,横,竖,横折,横,横,竖,撇,横折钩,横,横","点,点,提",1,1,NA,NA,"",NA
"火",4,"火","点,撇,撇,捺","点,撇,撇,捺",1,1,18479,4.2667,"",NA
"灭",5,"火","横,点,撇,撇,捺","点,撇,撇,捺",1,1,3546,3.5497,"",NA
"灯",6,"火","点,撇,撇,点,横,竖钩","点,撇,撇,点",1,1,4413,3.6447,"",NA
"灰",6,"火","横,撇,点,撇,撇,捺","点,撇,撇,捺",1,1,2140,3.3304,"",NA
"灵",7,"火","横折,横,横,点,撇,撇,捺","点,撇,撇,捺",1,1,8472,3.928,"",NA
"灶",7,"火","点,撇,撇,点,横,竖,横","点,撇,撇,点",1,1,72,1.8573,"",NA
"灸",7,"火","撇,横撇/横钩,点,点,撇,撇,捺","点,撇,撇,捺",1,1,83,1.9191,"",NA
"灼",7,"火","点,撇,撇,点,撇,横折钩,点","点,撇,撇,点",1,1,164,2.2148,"",NA
"灾",7,"火","点,点,横撇/横钩,点,撇,撇,捺","点,撇,撇,捺",1,1,1870,3.2718,"",NA
"灿",7,"火","点,撇,撇,点,竖,竖折/竖弯,竖","点,撇,撇,点",1,1,232,2.3655,"",NA
"炀",7,"火","点,撇,撇,点,横折折折钩/横撇弯钩,撇,撇","点,撇,撇,点",1,1,NA,NA,"",NA
"炅",8,"火","竖,横折,横,横,点,撇,撇,捺","点,撇,撇,捺",1,1,NA,NA,"",NA
"炆",8,"火","点,撇,撇,点,点,横,撇,捺","点,撇,撇,点",1,1,3,0.4771,"",NA
"炉",8,"火","点,撇,撇,点,点,横折,横,撇","点,撇,撇,点",1,1,1109,3.0449,"",NA
"炊",8,"火","点,撇,撇,点,撇,横撇/横钩,撇,捺","点,撇,撇,点",1,1,27,1.4314,"",NA
"炎",8,"火","点,撇,撇,点,点,撇,撇,捺","点,撇,撇,点",1,1,825,2.9165,"",NA
"炒",8,"火","点,撇,撇,点,竖,撇,点,撇","点,撇,撇,点",1,1,1708,3.2325,"",NA
"炔",8,"火","点,撇,撇,点,横折,横,撇,捺","点,撇,撇,点",1,1,8,0.9031,"",NA
"炕",8,"火","点,撇,撇,点,点,横,撇,横折弯钩/横斜钩","点,撇,撇,点",1,1,4,0.6021,"规则大家族目标字",1
"炖",8,"火","点,撇,撇,点,横,竖折/竖弯,竖,竖弯钩","点,撇,撇,点",1,1,233,2.3674,"",NA
"炙",8,"火","撇,横撇/横钩,点,点,点,撇,撇,捺","点,撇,撇,捺",1,1,79,1.8976,"",NA
"炜",8,"火","点,撇,撇,点,横,横,横折钩,竖","点,撇,撇,点",1,1,NA,NA,"",NA
"炝",8,"火","点,撇,撇,点,撇,捺,横折钩,竖弯钩","点,撇,撇,点",1,1,NA,NA,"",NA
"炫",9,"火","点,撇,撇,点,点,横,撇折,撇折,点","点,撇,撇,点",1,1,531,2.7251,"",NA
"炬",8,"火","点,撇,撇,点,横,横折,横,竖折/竖弯","点,撇,撇,点",1,1,449,2.6522,"",NA
"炭",9,"火","竖,竖折/竖弯,竖,横,撇,点,撇,撇,捺","点,撇,撇,捺",1,1,236,2.3729,"",NA
"炮",9,"火","点,撇,撇,点,撇,横折钩,横折,横,竖弯钩","点,撇,撇,点",1,1,1227,3.0888,"",NA
"炯",9,"火","点,撇,撇,点,竖,横折钩,竖,横折,横","点,撇,撇,点",1,1,83,1.9191,"",NA
"炱",9,"火","撇折,点,竖,横折,横,点,撇,撇,捺","点,撇,撇,捺",1,1,NA,NA,"",NA
"炳",9,"火","点,撇,撇,点,横,竖,横折钩,撇,点","点,撇,撇,点",1,1,152,2.1818,"",NA
"炷",9,"火","点,撇,撇,点,点,横,横,竖,横","点,撇,撇,点",1,1,4,0.6021,"",NA
"炸",9,"火","点,撇,撇,点,撇,横,竖,横,横","点,撇,撇,点",1,1,7886,3.8969,"",NA
"点",9,"灬","竖,横,竖,横折,横,点,点,点,点","点,点,点,点",1,1,128025,5.1073,"",NA
"炻",9,"火","点,撇,撇,点,横,撇,竖,横折,横","点,撇,撇,点",1,1,NA,NA,"",NA
"炼",9,"火","点,撇,撇,点,横,撇折,横折钩,撇,点","点,撇,撇,点",1,1,813,2.9101,"",NA
"炽",9,"火","点,撇,撇,点,竖,横折,横,点,点","点,撇,撇,点",1,1,51,1.7076,"",NA
"烀",9,"火","点,撇,撇,点,撇,点,撇,横,竖钩","点,撇,撇,点",1,1,NA,NA,"",NA
"烁",9,"火","点,撇,撇,点,撇,竖折/竖弯,竖钩,撇,点","点,撇,撇,点",1,1,151,2.179,"",NA
"烂",9,"火","点,撇,撇,点,点,撇,横,横,横","点,撇,撇,点",1,1,3934,3.5948,"",NA
"烃",9,"火","点,撇,撇,点,横撇/横钩,点,横,竖,横","点,撇,撇,点",1,1,13,1.1139,"",NA
"烈",10,"灬","横,撇,横撇/横钩,点,竖,竖钩,点,点,点,点","点,点,点,点",1,1,2912,3.4642,"规则大家族目标字",1
"烊",10,"火","点,撇,撇,点,点,撇,横,横,横,竖","点,撇,撇,点",1,1,143,2.1553,"",NA
"烘",10,"火","点,撇,撇,点,横,竖,竖,横,撇,点","点,撇,撇,点",1,1,326,2.5132,"",NA
"烙",10,"火","点,撇,撇,点,撇,横撇/横钩,捺,竖,横折,横","点,撇,撇,点",1,1,117,2.0682,"",NA
"烛",10,"火","点,撇,撇,点,竖,横折,横,竖,横,点","点,撇,撇,点",1,1,666,2.8235,"",NA
"烜",10,"火","点,撇,撇,点,横,竖,横折,横,横,横","点,撇,撇,点",1,1,NA,NA,"",NA
"烝",10,"灬","横撇/横钩,竖钩,横撇/横钩,撇,捺,横,点,点,点,点","点,点,点,点",1,1,NA,NA,"",NA
"烟",10,"火","点,撇,撇,点,竖,横折,横,撇,点,横","点,撇,撇,点",1,1,5276,3.7223,"",NA
"烤",10,"火","点,撇,撇,点,横,竖,横,撇,横,竖折折钩","点,撇,撇,点",1,1,2583,3.4121,"规则小家族目标字",2
"烦",10,"火","点,撇,撇,点,横,撇,竖,横折,撇,点","点,撇,撇,点",1,1,12442,4.0949,"",NA
"烧",10,"火","点,撇,撇,点,横,斜钩,撇,横,撇,竖弯钩","点,撇,撇,点",1,1,5192,3.7153,"不规则大家族目标字",3
"烨",10,"火","点,撇,撇,点,撇,竖,撇,竖弯钩,横,竖","点,撇,撇,点",1,1,NA,NA,"",NA
"烩",10,"火","点,撇,撇,点,撇,捺,横,横,撇折,点","点,撇,撇,点",1,1,89,1.9494,"",NA
"烫",10,"火","点,点,提,横折折折钩/横撇弯钩,撇,撇,点,撇,撇,捺","点,撇,撇,捺",1,1,786,2.8954,"",NA
"烬",10,"火","点,撇,撇,点,横折,横,撇,捺,点,点","点,撇,撇,点",1,1,137,2.1367,"",NA
"热",10,"灬","横,竖钩,提,撇,横折弯钩/横斜钩,点,点,点,点,点","点,点,点,点",1,1,10701,4.0294,"",NA
"烯",11,"火","点,撇,撇,点,撇,点,横,撇,竖,横折钩,竖","点,撇,撇,点",1,1,72,1.8573,"",NA
"烷",11,"火","点,撇,撇,点,点,点,横撇/横钩,横,横,撇,竖弯钩","点,撇,撇,点",1,1,137,2.1367,"",NA
"烹",11,"灬","点,横,竖,横折,横,横撇/横钩,竖钩,点,点,点,点","点,点,点,点",1,1,301,2.4786,"",NA
"烽",11,"火","点,撇,撇,点,撇,横撇/横钩,捺,横,横,横,竖","点,撇,撇,点",1,1,22,1.3424,"",NA
"焉",11,"灬","横,竖,横,竖,横,横,竖折折钩,点,点,点,点","点,点,点,点",1,1,167,2.2227,"",NA
"焊",11,"火","点,撇,撇,点,竖,横折,横,横,横,横,竖","点,撇,撇,点",1,1,171,2.233,"",NA
"焌",11,"火","点,撇,撇,点,撇折,点,撇,点,撇,横撇/横钩,捺","点,撇,撇,点",1,1,NA,NA,"",NA
"焐",11,"火","点,撇,撇,点,横,竖,横折,横,竖,横折,横","点,撇,撇,点",1,1,NA,NA,"",NA
"焓",11,"火","点,撇,撇,点,撇,捺,点,横撇/横钩,竖,横折,横","点,撇,撇,点",1,1,NA,NA,"",NA
"焕",11,"火","点,撇,撇,点,撇,横撇/横钩,竖,横折,横,撇,捺","点,撇,撇,点",1,1,410,2.6128,"",NA
"焖",11,"火","点,撇,撇,点,点,竖,横折钩,点,斜钩,点,点","点,撇,撇,点",1,1,26,1.415,"",NA
"焗",11,"火","点,撇,撇,点,横折,横,撇,横折钩,竖,横折,横","点,撇,撇,点",1,1,16,1.2041,"",NA
"焘",11,"灬","横,横,横,撇,横,竖钩,点,点,点,点,点","点,点,点,点",1,1,NA,NA,"",NA
"焙",12,"火","点,撇,撇,点,点,横,点,撇,横,竖,横折,横","点,撇,撇,点",1,1,37,1.5682,"",NA
"焚",12,"火","横,竖,撇,点,横,竖,撇,点,点,撇,撇,捺","点,撇,撇,捺",1,1,302,2.48,"",NA
"焦",12,"灬","撇,竖,点,横,横,横,竖,横,点,点,点,点","点,点,点,点",1,1,1481,3.1706,"",NA
"焯",12,"火","点,撇,撇,点,竖,横,竖,横折,横,横,横,竖","点,撇,撇,点",1,1,NA,NA,"",NA
"焰",12,"火","点,撇,撇,点,撇,横撇/横钩,撇,竖,横,横折,横,横","点,撇,撇,点",1,1,571,2.7566,"",NA
"焱",12,"火","点,撇,撇,捺,点,撇,撇,点,点,撇,撇,捺","点,撇,撇,捺",1,1,NA,NA,"",NA
"然",12,"灬","撇,横撇/横钩,点,点,横,撇,捺,点,点,点,点,点","点,点,点,点",1,1,91514,4.9615,"",NA
"煅",13,"火","点,撇,撇,点,撇,竖,横,横,提,撇,横折折/横折弯,横撇/横钩,捺","点,撇,撇,点",1,1,2,0.301,"",NA
"煊",13,"火","点,撇,撇,点,点,点,横撇/横钩,横,竖,横折,横,横,横","点,撇,撇,点",1,1,1,0,"",NA
"煌",13,"火","点,撇,撇,点,撇,竖,横折,横,横,横,横,竖,横","点,撇,撇,点",1,1,183,2.2625,"",NA
"煎",13,"灬","点,撇,横,竖,横折钩,横,横,竖,竖钩,点,点,点,点","点,点,点,点",1,1,820,2.9138,"",NA
"煜",13,"火","点,撇,撇,点,竖,横折,横,横,点,横,点,撇,横","点,撇,撇,点",1,1,NA,NA,"",NA
"煞",13,"灬","撇,横撇/横钩,横折,横,横,撇,横,撇,捺,点,点,点,点","点,点,点,点",1,1,193,2.2856,"",NA
"煤",13,"火","点,撇,撇,点,横,竖,竖,横,横,横,竖,撇,捺","点,撇,撇,点",1,1,461,2.6637,"不规则小家族目标字",4
"煦",13,"灬","竖,横折,横,横,撇,横折钩,竖,横折,横,点,点,点,点","点,点,点,点",1,1,9,0.9542,"",NA
"照",13,"灬","竖,横折,横,横,横折钩,撇,竖,横折,横,点,点,点,点","点,点,点,点",1,1,24253,4.3848,"",NA
"煨",13,"火","点,撇,撇,点,竖,横折,横,竖,横,横,竖提,撇,捺","点,撇,撇,点",1,1,2,0.301,"",NA
"煮",12,"灬","横,竖,横,撇,竖,横折,横,横,点,点,点,点","点,点,点,点",1,1,821,2.9143,"",NA
"煲",13,"火","撇,竖,竖,横折,横,横,竖,撇,点,点,撇,撇,捺","点,撇,撇,捺",1,1,35,1.5441,"",NA
"煳",13,"火","点,撇,撇,点,横,竖,竖,横折,横,撇,横折钩,横,横","点,撇,撇,点",1,1,NA,NA,"",NA
"煸",13,"火","点,撇,撇,点,点,横折,横,撇,竖,横折钩,横,竖,竖","点,撇,撇,点",1,1,2,0.301,"",NA
"煺",13,"火","点,撇,撇,点,横折,横,横,竖提,撇,点,点,横折折撇,捺","点,撇,撇,点",1,1,NA,NA,"",NA
"煽",14,"火","点,撇,撇,点,点,横折,横,撇,横折钩,点,提,横折钩,点,提","点,撇,撇,点",1,1,190,2.2788,"",NA
"熄",14,"火","点,撇,撇,点,撇,竖,横折,横,横,横,点,斜钩,点,点","点,撇,撇,点",1,1,400,2.6021,"",NA
"熊",14,"灬","撇折,点,竖,横折钩,横,横,撇,竖弯钩,撇,竖弯钩,点,点,点,点","点,点,点,点",1,1,2306,3.3629,"",NA
"熏",14,"灬","撇,横,竖,横折,点,撇,横,竖,横,横,点,点,点,点","点,点,点,点",1,1,561,2.749,"",NA
"熔",14,"火","点,撇,撇,点,点,点,横撇/横钩,撇,点,撇,捺,竖,横折,横","点,撇,撇,点",1,1,261,2.4166,"",NA
"熘",14,"火","点,撇,撇,点,撇,竖提,点,横折钩,撇,竖,横折,横,竖,横","点,撇,撇,点",1,1,NA,NA,"",NA
"熙",14,"灬","横,竖,竖,横折,横,竖,竖折/竖弯,横折,横,竖弯钩,点,点,点,点","点,点,点,点",1,1,481,2.6821,"",NA
"熜",15,"火","点,撇,撇,点,撇,竖,横折,撇,横撇/横钩,点,横,点,斜钩,点,点","点,撇,撇,点",1,1,NA,NA,"",NA
"熟",15,"灬","点,横,竖,横折,横,横撇/横钩,竖钩,提,撇,横折弯钩/横斜钩,点,点,点,点,点","点,点,点,点",1,1,4472,3.6505,"",NA
"熠",15,"火","点,撇,撇,点,横折,点,提,横折,点,提,撇,竖,横折,横,横","点,撇,撇,点",1,1,58,1.7634,"",NA
"熨",15,"火","横折,横,撇,横,横,竖钩,撇,点,横,竖钩,点,点,撇,撇,捺","点,撇,撇,捺",1,1,148,2.1703,"",NA
"熬",14,"灬","横,横,竖,横,横折钩,撇,撇,横,撇,捺,点,点,点,点","点,点,点,点",1,1,1014,3.006,"",NA
"熵",15,"火","点,撇,撇,点,点,横,点,撇,竖,横折钩,撇,点,竖,横折,横","点,撇,撇,点",1,1,6,0.7782,"",NA
"熹",16,"灬","横,竖,横,竖,横折,横,点,撇,横,竖,横折,横,点,点,点,点","点,点,点,点",1,1,5,0.699,"",NA
"燃",16,"火","点,撇,撇,点,撇,横撇/横钩,点,点,横,撇,捺,点,点,点,点,点","点,撇,撇,点",1,1,1719,3.2353,"",NA
"燎",16,"火","点,撇,撇,点,横,撇,捺,点,撇,竖,横折,横,横,竖钩,撇,点","点,撇,撇,点",1,1,19,1.2788,"",NA
"燔",16,"火","点,撇,撇,点,撇,点,撇,横,竖,撇,捺,竖,横折,横,竖,横","点,撇,撇,点",1,1,NA,NA,"",NA
"燕",16,"灬","横,竖,竖,横,竖,横折,横,竖,横,提,撇,竖弯钩,点,点,点,点","点,点,点,点",1,1,310,2.4914,"",NA
"燠",16,"火","点,撇,撇,点,撇,竖,横折,点,撇,横,竖,撇,点,横,撇,捺","点,撇,撇,点",1,1,NA,NA,"",NA
"燥",17,"火","点,撇,撇,点,竖,横折,横,竖,横折,横,竖,横折,横,横,竖,撇,捺","点,撇,撇,点",1,1,285,2.4548,"",NA
"燧",16,"火","点,撇,撇,点,点,撇,横,撇,弯钩,撇,撇,撇,点,点,横折折撇,捺","点,撇,撇,点",1,1,16,1.2041,"",NA
"燮",17,"火","点,横,横,横,竖,横折,横,点,撇,撇,点,点,撇,撇,点,横撇/横钩,捺","点,撇,撇,点",1,1,62,1.7924,"",NA
"燹",18,"火","横,撇,弯钩,撇,撇,撇,点,横,撇,弯钩,撇,撇,撇,点,点,撇,撇,捺","点,撇,撇,捺",1,1,NA,NA,"",NA
"爆",19,"火","点,撇,撇,点,竖,横折,横,横,横,竖,竖,横,撇,捺,竖钩,点,提,撇,点","点,撇,撇,点",1,1,5612,3.7491,"",NA
"爇",18,"灬","横,竖,竖,横,竖,横,撇,点,横,竖,提,撇,横折弯钩/横斜钩,点,点,点,点,点","点,点,点,点",1,1,NA,NA,"",NA
"爝",21,"火","点,撇,撇,点,撇,点,点,撇,竖,横折,竖,竖,横,横折,横,横,竖提,点,横,竖钩,点","点,撇,撇,点",1,1,NA,NA,"",NA
"爨",30,"火","撇,竖,横,横,竖,横折,横,竖,横折,横,横折,横,横,点,横撇/横钩,横,竖,撇,点,横,竖,撇,点,横,撇,捺,点,撇,撇,点","点,撇,撇,点",1,1,NA,NA,"",NA
"爪",4,"爪","撇,撇,竖,捺","撇,撇,竖,捺",1,1,563,2.7505,"",NA
"爬",8,"爪","撇,撇,竖,捺,横折,竖,横,竖弯钩","撇,撇,竖,捺",1,1,2192,3.3408,"",NA
"爰",9,"爫","撇,点,点,撇,横,横,撇,横撇/横钩,捺","撇,点,点,撇",1,1,1,0,"",NA
"爱",10,"爫","撇,点,点,撇,点,横撇/横钩,横,撇,横撇/横钩,捺","撇,点,点,撇",1,1,65256,4.8146,"",NA
"爵",17,"爫","撇,点,点,撇,竖,横折,竖,竖,横,横折,横,横,竖提,点,横,竖钩,点","撇,点,点,撇",1,1,2690,3.4298,"",NA
"父",4,"父","撇,点,撇,捺","撇,点,撇,捺",1,1,22065,4.3437,"",NA
"爷",6,"父","撇,点,撇,捺,横折钩,竖","撇,点,撇,捺",1,1,4461,3.6494,"",NA
"爸",8,"父","撇,点,撇,捺,横折,竖,横,竖弯钩","撇,点,撇,捺",1,1,53025,4.7245,"",NA
"爹",10,"父","撇,点,撇,捺,撇,横撇/横钩,点,撇,横撇/横钩,点","撇,点,撇,捺",1,1,1182,3.0726,"",NA
"爻",4,"爻","撇,点,撇,捺","撇,点,撇,捺",1,1,NA,NA,"",NA
"爽",11,"爻","横,撇,点,撇,点,撇,点,撇,点,撇,捺","撇,点,撇,捺",1,1,2566,3.4093,"",NA
"爿",4,"爿","竖折/竖弯,竖,横,撇","竖折/竖弯,竖,横,撇",1,1,1,0,"",NA
"片",4,"片","撇,竖,横,横折","撇,竖,横,横折",1,1,21431,4.331,"",NA
"版",8,"片","撇,竖,横,横折,撇,撇,横撇/横钩,捺","撇,竖,横,横折",1,1,2708,3.4326,"",NA
"牌",12,"片","撇,竖,横,横折,撇,竖,横折,横,横,撇,横,竖","撇,竖,横,横折",1,1,5872,3.7688,"",NA
"牍",12,"片","撇,竖,横,横折,横,竖,横撇/横钩,点,点,横,撇,点","撇,竖,横,横折",1,1,6,0.7782,"",NA
"牒",13,"片","撇,竖,横,横折,横,竖,竖,横,竖折/竖弯,横,竖,撇,捺","撇,竖,横,横折",1,1,50,1.699,"",NA
"牖",15,"片","撇,竖,横,横折,点,横折,横,撇,横,竖,横折钩,横,横,竖,点","撇,竖,横,横折",1,1,NA,NA,"",NA
"牙",4,"牙","横,撇折,竖钩,撇","横,撇折,竖钩,撇",1,1,6365,3.8038,"",NA
"牚",12,"牙","竖,点,撇,点,横撇/横钩,竖,横折,横,横,撇折,竖钩,撇","横,撇折,竖钩,撇",1,1,NA,NA,"",NA
"牛",4,"牛","撇,横,横,竖","撇,横,横,竖",1,1,7043,3.8478,"",NA
"牝",6,"牜","撇,横,竖,提,撇,竖弯钩","撇,横,竖,提",1,1,1,0,"",NA
"牟",6,"牛","撇折,点,撇,横,横,竖","撇,横,横,竖",1,1,40,1.6021,"",NA
"牡",7,"牜","撇,横,竖,提,横,竖,横","撇,横,竖,提",1,1,120,2.0792,"",NA
"牢",7,"牛","点,点,横撇/横钩,撇,横,横,竖","撇,横,横,竖",1,1,3297,3.5181,"",NA
"牦",8,"牜","撇,横,竖,提,撇,横,横,竖弯钩","撇,横,竖,提",1,1,14,1.1461,"",NA
"牧",8,"牜","撇,横,竖,提,撇,横,撇,捺","撇,横,竖,提",1,1,1896,3.2778,"",NA
"物",8,"牜","撇,横,竖,提,撇,横折钩,撇,撇","撇,横,竖,提",1,1,30079,4.4783,"",NA
"牮",9,"牛","撇,竖,横,斜钩,点,撇,横,横,竖","撇,横,横,竖",1,1,NA,NA,"",NA
"牯",9,"牜","撇,横,竖,提,横,竖,竖,横折,横","撇,横,竖,提",1,1,NA,NA,"",NA
"牲",9,"牜","撇,横,竖,提,撇,横,横,竖,横","撇,横,竖,提",1,1,1880,3.2742,"",NA
"牵",9,"牛","横,撇,点,点,横撇/横钩,撇,横,横,竖","撇,横,横,竖",1,1,1693,3.2287,"",NA
"特",10,"牜","撇,横,竖,提,横,竖,横,横,竖钩,点","撇,横,竖,提",1,1,48225,4.6833,"不规则大家族目标字",3
"牺",10,"牜","撇,横,竖,提,横,竖,横折,撇,竖折/竖弯,横","撇,横,竖,提",1,1,1536,3.1864,"",NA
"牾",11,"牜","撇,横,竖,提,横,竖,横折,横,竖,横折,横","撇,横,竖,提",1,1,NA,NA,"",NA
"牿",11,"牜","撇,横,竖,提,撇,横,竖,横,竖,横折,横","撇,横,竖,提",1,1,NA,NA,"",NA
"犀",12,"牛","横折,横,撇,竖,点,提,撇,点,撇,横,横,竖","撇,横,横,竖",1,1,175,2.243,"",NA
"犁",11,"牛","撇,横,竖,撇,点,竖,竖钩,撇,横,横,竖","撇,横,横,竖",1,1,32,1.5051,"",NA
"犄",12,"牜","撇,横,竖,提,横,撇,点,横,竖,横折,横,竖钩","撇,横,竖,提",1,1,14,1.1461,"",NA
"犊",12,"牜","撇,横,竖,提,横,竖,横撇/横钩,点,点,横,撇,点","撇,横,竖,提",1,1,31,1.4914,"",NA
"犋",12,"牜","撇,横,竖,提,竖,横折,横,横,横,横,撇,点","撇,横,竖,提",1,1,NA,NA,"",NA
"犍",12,"牜","撇,横,竖,提,横折,横,横,横,横,竖,横折折撇,捺","撇,横,竖,提",1,1,NA,NA,"",NA
"犏",13,"牜","撇,横,竖,提,点,横折,横,撇,竖,横折钩,横,竖,竖","撇,横,竖,提",1,1,NA,NA,"",NA
"犒",14,"牜","撇,横,竖,提,点,横,竖,横折,横,竖,横折钩,竖,横折,横","撇,横,竖,提",1,1,21,1.3222,"",NA
"犟",16,"牛","横折,横,竖折折钩,竖,横折,横,竖,横折,横,竖,横,点,撇,横,横,竖","撇,横,横,竖",1,1,15,1.1761,"",NA
"犬",4,"犬","横,撇,捺,点","横,撇,捺,点",1,1,1055,3.0233,"",NA
"犯",5,"犭","撇,弯钩,撇,横折钩,竖弯钩","撇,弯钩,撇",1,1,17722,4.2485,"",NA
"犰",5,"犭","撇,弯钩,撇,撇,横折弯钩/横斜钩","撇,弯钩,撇",1,1,NA,NA,"",NA
"犴",6,"犭","撇,弯钩,撇,横,横,竖","撇,弯钩,撇",1,1,NA,NA,"",NA
"状",7,"犬","点,提,竖,横,撇,捺,点","横,撇,捺,点",1,1,6080,3.7839,"",NA
"犷",6,"犭","撇,弯钩,撇,点,横,撇","撇,弯钩,撇",1,1,24,1.3802,"",NA
"犸",6,"犭","撇,弯钩,撇,横折,竖折折钩,横","撇,弯钩,撇",1,1,34,1.5315,"",NA
"犹",7,"犭","撇,弯钩,撇,横,撇,竖弯钩,点","撇,弯钩,撇",1,1,3086,3.4894,"",NA
"狁",7,"犭","撇,弯钩,撇,撇折,点,撇,竖弯钩","撇,弯钩,撇",1,1,NA,NA,"",NA
"狂",7,"犭","撇,弯钩,撇,横,横,竖,横","撇,弯钩,撇",1,1,8951,3.9519,"不规则小家族目标字",4
"狃",7,"犭","撇,弯钩,撇,横折,竖,横,横","撇,弯钩,撇",1,1,NA,NA,"",NA
"狄",7,"犭","撇,弯钩,撇,点,撇,撇,捺","撇,弯钩,撇",1,1,1012,3.0052,"",NA
"狈",7,"犭","撇,弯钩,撇,竖,横折,撇,点","撇,弯钩,撇",1,1,60,1.7782,"",NA
"狉",8,"犭","撇,弯钩,撇,横,撇,竖,点,横","撇,弯钩,撇",1,1,NA,NA,"",NA
"狍",8,"犭","撇,弯钩,撇,撇,横折钩,横折,横,竖弯钩","撇,弯钩,撇",1,1,NA,NA,"",NA
"狎",8,"犭","撇,弯钩,撇,竖,横折,横,横,竖","撇,弯钩,撇",1,1,4,0.6021,"",NA
"狐",8,"犭","撇,弯钩,撇,撇,撇,竖提,点,捺","撇,弯钩,撇",1,1,626,2.7966,"",NA
"狒",8,"犭","撇,弯钩,撇,横折,横,竖折折钩,撇,竖","撇,弯钩,撇",1,1,107,2.0294,"",NA
